番号,20,
名前,골드하트,
呼び名,골드하트,
基礎,0,3500
基礎,1,2700
フラグ,1,2
フラグ,9,120
フラグ,11,320
フラグ,12,320
フラグ,13,320
フラグ,14,320
フラグ,16,993
フラグ,41,105
フラグ,45,0
フラグ,46,0
フラグ,151,128
フラグ,420,1
;素質,0;처녀
素質,15;프라이드높음
素質,25;낙관적
素質,40;아픔에약함
素質,62;악취민감
素質,110;거유
素質,167;,하트;ユニーク
素質,205;기사
素質,240;전술
素質,249;철벽
素質,300,1;金髪
素質,301,3;内カール
素質,302,201;ロング
素質,303,1;ベーシック
素質,304,1;ナチュラル
素質,305,2;大きい
素質,306,1;碧
素質,307,3;瑞々しい
素質,308,300;グラマー
素質,309,1;ピンク
素質,310,100;薄
素質,311,100;薄
素質,312,5;泣きぼくろ
素質,313,9;上目遣い
素質,314,0;人間
素質,315,8;貴族
素質,316,5;日常に退屈して
素質,317,15;御菓子

