番号,21,
名前,실버스페이드,
呼び名,실버스페이드,
基礎,0,3600
基礎,1,2100
フラグ,1,2
フラグ,9,110
フラグ,11,290
フラグ,12,295
フラグ,13,290
フラグ,14,295
フラグ,16,-1
フラグ,41,110
フラグ,45,0
フラグ,46,0
フラグ,151,128
フラグ,420,1
素質,0;처녀
素質,12;굳건함
素質,30;정조관념
素質,42;젖기쉬움
素質,60;자위쉬움
素質,62;악취둔감
素質,82;남성혐오
素質,102;C敏感
素質,168;,스페이드,;ユニーク
素質,207;닌자
素質,243;기습
素質,251;인술
素質,252;선제
素質,300,5;銀髪
素質,301,1;直毛
素質,302,1;ショート
素質,303,1;ベーシック
素質,304,1;ナチュラル
素質,305,4;釣り目
素質,306,6;黒
素質,307,2;薄い
素質,308,1;スレンダー
素質,309,1;ピンク
素質,310,150;濃い
素質,311,150;濃い
素質,312,14;ヒップライン
素質,313,8;リズムを取る
素質,314,0;人間
素質,315,19;軍人
素質,316,9;国に命令されて
素質,317,20;泳ぐこと
