番号,22,
名前,블랙다이아,
呼び名,블랙다이아,
基礎,0,3450
基礎,1,2050
フラグ,1,2
フラグ,9,105
フラグ,11,282
フラグ,12,282
フラグ,13,282
フラグ,14,282
フラグ,16,-1
フラグ,41,292
フラグ,45,0
フラグ,46,0
フラグ,151,128
フラグ,420,1
素質,0;처녀
素質,11;반항적
素質,18;츤데레
素質,23;호기심
素質,40;아픔에약함
素質,52;혀놀림
素質,72;중독되기쉬움
素質,106;Ａ민감
素質,169;다이아,;ユニーク
素質,200;전사
素質,240;전술
素質,248;근육질
素質,300,3;黒髪
素質,301,1;直毛
素質,302,101;セミロング
素質,303,1;ベーシック
素質,304,7;おさげ
素質,305,4;釣り目
素質,306,2;ブラウン
素質,307,3;瑞々しい
素質,308,1;スレンダー
素質,309,1;ピンク
素質,310,100;標準
素質,311,100;標準
素質,312,15;脚線美
素質,313,27;片目を閉じる
素質,314,0;人間
素質,315,19;軍人
素質,316,9;国に命令されて
素質,317,14;宝石
