番号,23,
名前,화이트클럽,
呼び名,화이트클럽,
基礎,0,2650
基礎,1,3050
フラグ,1,2
フラグ,9,105
フラグ,11,277
フラグ,12,277
フラグ,13,277
フラグ,14,277
フラグ,16,-1
フラグ,41,5
フラグ,42,83
フラグ,45,0
フラグ,46,0
フラグ,151,128
フラグ,420,1
素質,0;처녀
素質,1;동정
素質,16;시건방짐
素質,25;낙관적
素質,48;근시
素質,50;습득빠름
素質,62;악취둔감
素質,70;쾌감에솔직
素質,100;작은체형
素質,109;빈유
素質,121;후타나리
素質,125;백보지
素質,170;클럽
素質,201;마술사
素質,241;마술
素質,252;선제
素質,300,2;栗毛
素質,301,1;直毛
素質,302,1;ショート
素質,303,1;ベーシック
素質,304,1;ナチュラル
素質,305,3;神秘的
素質,306,2;ブラウン
素質,307,3;瑞々しい
素質,308,1;スレンダー
素質,309,1;ピンク
素質,310,1;無
素質,311,1;無
素質,312,4;口元
素質,313,33;話す時の距離が近い
素質,314,0;人間
素質,315,17;隠者
素質,316,9;国に命令されて
素質,317,18;小説

