番号,24,
名前,릴리,
呼び名,릴리,
基礎,0,1800
基礎,1,1800
フラグ,1,2
フラグ,9,1
フラグ,11,15
フラグ,12,15
フラグ,13,15
フラグ,14,15
フラグ,16,-1
フラグ,41,201
フラグ,45,0
フラグ,46,0
フラグ,151,99
フラグ,420,1
素質,0;처녀
素質,12;굳건함
素質,23;호기심
素質,35;수줍음
素質,62;악취민감
素質,110;거유
素質,171;마을처녀Ｂ,;ユニーク
素質,253;갈색피부
素質,300,4;赤毛
素質,301,1;直毛
素質,302,201;ロング
素質,303,1;ベーシック
素質,304,8;ツインテール
素質,305,5;潤み目
素質,306,2;ブラウン
素質,307,3;瑞々しい
素質,308,101;標準
素質,309,1;ピンク
素質,310,100;標準
素質,311,100;標準
素質,312,5;泣きぼくろ
素質,313,3;髪を触る
素質,314,0;人間
素質,315,3;農家
素質,316,11;自暴自棄になって
素質,317,8;家族
相性,17,150

